Agent,Average_Score,Win_Percentage,Average_Score_Difference,Best_Partner,Best_Collective_Score,Average_Collective_Score,Cooperation_Rate
Random Agent,-22.2,50.0,-20.0,Always Split Agent,380,-0.244,0.495
Always Split Agent,131.4,0.0,-224.8,Always Split Agent,600,4.876,1.0
Always Steal Agent,-69.0,90.0,344.8,Always Split Agent,200,-4.828,0.0
Tit-for-Tat Agent,114.0,0.0,-1.6,Always Split Agent,600,2.296,0.705
Rhythmic Agent,37.2,40.0,-89.6,Always Split Agent,468,1.64,0.67
Probabilistic Agent,41.6,20.0,-156.8,Always Split Agent,476,2.4,0.755
Prediction Agent,117.4,20.0,-20.0,Always Split Agent,600,2.548,0.761
Grudge Agent,124.8,50.0,230.4,Always Split Agent,600,0.192,0.418
ML Prediction Agent,-6.2,60.0,60.0,Always Split Agent,400,-0.724,0.438
Q-Learning Agent,73.8,60.0,-72.8,Always Split Agent,556,2.204,0.697
