Agent1,Agent2,Agent1_Score,Agent2_Score,Combined_Score
Tit-for-Tat Agent,Tit-for-Tat Agent,300,300,600
Tit-for-Tat Agent,Rhythmic Agent,168,168,336
Tit-for-Tat Agent,Probabilistic Agent,160,160,320
Tit-for-Tat Agent,Prediction Agent,300,300,600
Tit-for-Tat Agent,Grudge Agent,300,300,600
Tit-for-Tat Agent,ML Prediction Agent,12,12,24
Tit-for-Tat Agent,Q-Learning Agent,152,152,304
Rhythmic Agent,Tit-for-Tat Agent,168,168,336
Rhythmic Agent,Rhythmic Agent,168,168,336
Rhythmic Agent,Probabilistic Agent,186,114,300
Rhythmic Agent,Prediction Agent,56,40,96
Rhythmic Agent,Grudge Agent,-344,168,-176
Rhythmic Agent,ML Prediction Agent,-162,102,-60
Rhythmic Agent,Q-Learning Agent,290,106,396
Probabilistic Agent,Tit-for-Tat Agent,186,178,364
Probabilistic Agent,Rhythmic Agent,114,202,316
Probabilistic Agent,Probabilistic Agent,156,188,344
Probabilistic Agent,Prediction Agent,312,136,448
Probabilistic Agent,Grudge Agent,-336,272,-64
Probabilistic Agent,ML Prediction Agent,-200,280,80
Probabilistic Agent,Q-Learning Agent,80,192,272
Prediction Agent,Tit-for-Tat Agent,300,300,600
Prediction Agent,Rhythmic Agent,40,56,96
Prediction Agent,Probabilistic Agent,150,286,436
Prediction Agent,Prediction Agent,300,300,600
Prediction Agent,Grudge Agent,300,300,600
Prediction Agent,ML Prediction Agent,-90,-66,-156
Prediction Agent,Q-Learning Agent,220,316,536
Grudge Agent,Tit-for-Tat Agent,300,300,600
Grudge Agent,Rhythmic Agent,168,-344,-176
Grudge Agent,Probabilistic Agent,272,-336,-64
Grudge Agent,Prediction Agent,300,300,600
Grudge Agent,Grudge Agent,300,300,600
Grudge Agent,ML Prediction Agent,58,-366,-308
Grudge Agent,Q-Learning Agent,140,-356,-216
ML Prediction Agent,Tit-for-Tat Agent,18,10,28
ML Prediction Agent,Rhythmic Agent,104,-152,-48
ML Prediction Agent,Probabilistic Agent,204,-164,40
ML Prediction Agent,Prediction Agent,-20,12,-8
ML Prediction Agent,Grudge Agent,-392,-8,-400
ML Prediction Agent,ML Prediction Agent,-94,-102,-196
ML Prediction Agent,Q-Learning Agent,118,-114,4
Q-Learning Agent,Tit-for-Tat Agent,132,132,264
Q-Learning Agent,Rhythmic Agent,130,186,316
Q-Learning Agent,Probabilistic Agent,234,66,300
Q-Learning Agent,Prediction Agent,186,130,316
Q-Learning Agent,Grudge Agent,-340,156,-184
Q-Learning Agent,ML Prediction Agent,-148,156,8
Q-Learning Agent,Q-Learning Agent,272,256,528
